feature_set,n_features,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,fit_time_s,energy_wh_proxy,training_carbon_mgco2e_proxy,model_size_kb
Calendar only,7,0.929858934169279,0.9233180238331677,0.7312775330396476,0.9135220125786163,0.8123033904229291,0.9816993933093348,0.5042555839754641,0.006401231254567392,3.328076890388001,490.744140625
Calendar + national load history,14,0.9664968652037618,0.9495362817420911,0.8801946836390865,0.9241352201257862,0.9016299137104506,0.9936184555334878,0.45798395900055766,0.00602267594251316,3.131261444159219,506.2001953125
Add renewable operating state,23,0.9624477533960293,0.9455345320849293,0.8628824179874678,0.9202044025157232,0.8906220277724938,0.9925709148066708,0.636062791920267,0.00807848073396599,4.200099007667221,523.6806640625
Add TSO-zone state,28,0.9663009404388715,0.9535106930061001,0.8719735876742479,0.9343553459119497,0.9020872865275142,0.9929595171350152,0.6463255420094356,0.008206058024952655,4.266427971109696,533.857421875
Full feature set incl. day-ahead forecast,29,0.965451933124347,0.9509556615595592,0.8713601179506082,0.9292452830188679,0.8993722655506943,0.9930952393266972,0.6026487089693546,0.007669504276709631,3.9874672432490135,535.8896484375
