model,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,fit_time_s,predict_time_s,model_size_kb,energy_wh_proxy,training_carbon_mgco2e_proxy,mean_training_carbon_proxy_g_per_kwh,pareto_efficient,carbon_adjusted_score
Histogram Gradient Boosting,34897,15312,0.965451933124347,0.9509556615595592,0.8713601179506082,0.9292452830188679,0.8993722655506943,0.9930952393266972,0.7808918750379235,0.06770379201043397,535.8896484375,0.010099667398026212,5.250938191616348,519.9119916208869,True,0.8521747851278445
Neural Network,34897,15312,0.9651253918495298,0.9439924989360193,0.881838905775076,0.9123427672955975,0.8968315301391035,0.9926814998384326,1.1574719160562381,0.002558459062129259,33.51171875,0.014481191246013624,7.5289449817578955,519.9119916208869,False,0.8581794814316351
Random Forest,34897,15312,0.9601619644723093,0.9597445855204048,0.8282416836388323,0.9591194968553459,0.8888888888888888,0.993060019594978,0.759889957960695,0.051856040954589844,4746.9833984375,0.009757904679281637,5.073251655852087,519.9119916208869,True,0.8325382650401051
Logistic Regression,34897,15312,0.883098223615465,0.9058236688419161,0.5935948361469712,0.9398584905660378,0.7276323797930615,0.968116568199193,0.07976787502411753,0.004159000003710389,2.603515625,0.001017893437820021,0.5292150045148385,519.9119916208869,True,0.7174534019322489
Linear SVM,34897,15312,0.8804205851619644,0.9048476143188159,0.5874417463821437,0.9414308176100629,0.7234556713487389,0.9679349279744172,0.05837183305993676,0.0020184579771012068,2.4970703125,0.0007397402031347156,0.38459980229380936,519.9119916208869,True,0.7144855210734488
