model,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,fit_time_s,predict_time_s,model_size_kb,energy_wh_proxy,training_carbon_mgco2e_proxy,mean_training_carbon_proxy_g_per_kwh,pareto_efficient,carbon_adjusted_score,transparency_score,f1_per_mgco2e
Histogram Gradient Boosting,34897,15312,0.965451933124347,0.9509556615595592,0.8713601179506082,0.929245283018868,0.8993722655506943,0.9930952393266972,0.7808918750379235,0.0677037920104339,535.8896484375,0.0100996673980262,5.250938191616348,519.9119916208869,True,0.8521747851278445,2.8,0.17127836235213548
Neural Network,34897,15312,0.9651253918495298,0.9439924989360192,0.881838905775076,0.9123427672955976,0.8968315301391035,0.9926814998384326,1.157471916056238,0.0025584590621292,33.51171875,0.0144811912460136,7.528944981757896,519.9119916208869,False,0.8581794814316351,1.8,0.1191178064382535
Random Forest,34897,15312,0.9601619644723092,0.9597445855204048,0.8282416836388323,0.959119496855346,0.8888888888888888,0.993060019594978,0.759889957960695,0.0518560409545898,4746.9833984375,0.0097579046792816,5.073251655852087,519.9119916208869,True,0.8325382650401051,3.2,0.17521084581970103
Logistic Regression,34897,15312,0.883098223615465,0.905823668841916,0.5935948361469712,0.9398584905660378,0.7276323797930615,0.968116568199193,0.0797678750241175,0.0041590000037103,2.603515625,0.00101789343782,0.5292150045148385,519.9119916208869,True,0.7174534019322489,5.0,1.374925122417872
Linear SVM,34897,15312,0.8804205851619644,0.904847614318816,0.5874417463821437,0.9414308176100628,0.7234556713487389,0.9679349279744172,0.0583718330599367,0.0020184579771012,2.4970703125,0.0007397402031347,0.3845998022938093,519.9119916208869,True,0.7144855210734488,4.0,1.8810560639342275
